PrsID,PrsLabel,BYear,BLocLabel,BLocUID,BLocTGNID,BLocLat,BLocLang,DYear,DLocLabel,DLocUID,DLocTGNID,DLocLat,DLocLang,Sex,AppliedArts,Architecture,FineArts,PerformingArts,Print&Graphics,Academic,Other,,,,,
500116244,Godefroid de Huy,1105,Huy ,4031210055,7007896,50.523582,5.241276,1205,Huy ,4031210055,7007896,50.523582,5.241276,M,1,0,0,0,0,0,1,,,,,
500214507,"Frederick II, Holy Roman Emperor",1194,Jesi ,4243270000,7004002,43.516667,13.233333,1250,Apulia ,4243000002,7010380,41.25,16.25,M,0,0,0,0,0,0,1,,,,,
500112540,"Innocent IV, Pope",1200,Genoa ,4243180088,7008546,44.416667,8.95,1254,Naples ,4243390002,7004474,40.833333,14.25,M,0,0,0,0,0,0,1,,,,,
500202738,Liang Kai,1176,Dongping ,3062090594,1138922,35.9667,116.3333,1256,Lin'an ,3062330261,1069840,30.2667,119.7167,M,0,0,1,0,0,0,0,,,,,
500121837,"Nicholas III, Pope",1200,Rome ,4243510165,7000874,41.9,12.483333,1280,Viterbo province ,4243630313,7003139,42.416667,12.083333,M,0,0,0,0,0,0,1,,,,,
500020772,Arnolfo di Cambio,1240,Colle di Val d'Elsa ,4243060801,7006328,43.416667,11.116667,1302,Florence ,4243150091,7000457,43.766667,11.25,M,0,1,1,0,0,0,0,,,,,
500096016,"Meun, Jean de",1230,Meung-sur-Loire ,4151360286,1034371,47.8333,1.7,1305,Paris ,4151450026,7008038,48.8667,2.3333,M,0,0,0,0,0,0,1,,,,,
500016284,Cimabue,1235,Florence ,4243150091,7000457,43.766667,11.25,1305,Pisa ,4243450264,7006082,43.716667,10.383333,M,0,0,1,0,0,0,0,,,,,
500247984,"Edward I, King of England",1239,Westminster ,4601660675,7018905,51.485,-.135,1307,Burgh by Sands ,4601030903,7026072,54.9212,-3.06032,M,0,0,0,0,0,0,1,,,,,
500029165,Duccio,1245,Siena ,4243540646,7011179,43.316667,11.35,1319,Siena ,4243540646,7011179,43.316667,11.35,M,1,0,1,0,0,0,0,,,,,
500101283,Lapo da Firenze,1220,Ampezzo ,4243000163,1043207,46.413889,12.794722,1320,Vienna ,4002630021,7003321,48.2167,16.3667,M,0,0,1,0,0,0,0,,,,,
500017740,"Pisano, Giovanni",1240,Pisa ,4243450264,7006082,43.716667,10.383333,1320,Siena ,4243540646,7011179,43.316667,11.35,M,0,1,1,0,0,0,0,,,,,
500265888,Dante Alighieri,1265,Florence ,4243150091,7000457,43.766667,11.25,1321,Ravenna ,4243510029,7004935,44.4175,12.201111,M,0,0,0,0,0,1,1,,,,,
500247985,"Edward II, King of England",1284,Caernarfon ,4601060010,7008824,53.1333,-4.2667,1327,Berkeley ,4601030274,7011148,51.7,-2.45,M,0,0,0,0,0,0,1,,,,,
500127818,Dait? Kokushi,1282,Harima ,3271210053,1080057,34.7,134.8833,1337,Kyoto ,3271300435,7004603,35,135.75,M,0,0,0,0,1,0,1,,,,,
500121828,"Orsini, Napoleone",1253,Rome ,4243510165,7000874,41.9,12.483333,1342,Avignon ,4151000374,7008799,43.9333,4.8,M,0,0,0,0,0,0,1,,,,,
500029357,"Martini, Simone",1274,Siena ,4243540646,7011179,43.316667,11.35,1344,Avignon ,4151000374,7008799,43.9333,4.8,M,0,0,1,0,0,0,0,,,,,
500005955,"Gower, Henry de",1268,Swansea ,4601541003,7018973,51.6333,-3.95,1347,Saint David's ,4601540023,7008839,51.9,-5.2833,M,1,1,0,0,0,1,1,,,,,
500004953,"Daddi, Bernardo",1260,Florence ,4243150091,7000457,43.766667,11.25,1348,Florence ,4243150091,7000457,43.766667,11.25,M,0,0,1,0,0,0,0,,,,,
